Mission,Spacecraft,Launch Date,Carrier Rocket,Operator,Mission Type,Outcome,Additional Information
Pioneer 0 (Able I),Pioneer 0,17-Aug-58,Thor DM-18 Able I,United States USAF,Orbiter,Launch failure,First attempted launch beyond Earth orbit; failed to orbit due to turbopump gearbox malfunction resulting in first-stage explosion. Reached apogee of 16 kilometres (10 mi). ([3][4])
Luna E-1 No.1,Luna E-1 No.1,23-Sep-58,Luna,Soviet Union OKB-1,Impactor,Launch failure,Failed to orbit; rocket disintegrated due to excessive vibration. ([3][5])
Pioneer 1 (Able II),Pioneer 1,11-Oct-58,Thor DM-18 Able I,United States NASA,Orbiter,Launch failure,"Failed to orbit; premature second-stage cutoff due to accelerometer failure. Later known as Pioneer 1. Reached apogee of 113,800 kilometres (70,700 mi). ([3][6])"
Luna E-1 No.2,Luna E-1 No.2,11-Oct-58,Luna,Soviet Union OKB-1,Impactor,Launch failure,Failed to orbit; carrier rocket exploded due to excessive vibration. ([3][5])
Pioneer 2 (Able III),Pioneer 2,08-Nov-58,Thor DM-18 Able I,United States NASA,Orbiter,Launch failure,"Failed to orbit; premature second-stage cutoff due to erroneous command by ground controllers; third stage failed to ignite due to broken electrical connection. Reached apogee of 1,550 kilometres (960 mi). ([3][7])"
Luna E-1 No.3,Luna E-1 No.3,04-Dec-58,Luna,Soviet Union OKB-1,Impactor,Launch failure,Failed to orbit; seal failure in hydrogen peroxide pump cooling system resulted in core-stage underperformance. ([3][5])
Pioneer 3,Pioneer 3,06-Dec-58,Juno II,United States NASA,Flyby,Launch failure,"Failed to orbit; premature first-stage cutoff. Reached apogee of 102,360 kilometres (63,600 mi). ([3][8])"
Luna 1 (E-1 No.4),Luna 1,02-Jan-59,Luna,Soviet Union OKB-1,Impactor,Partial failure,"Carrier rocket guidance problem resulted in failure to impact Moon, flew past in a heliocentric orbit. Closest approach 5,995 kilometres (3,725 mi) on 4 January. First spacecraft to fly by the Moon. ([9][10])"
Pioneer 4,Pioneer 4,03-Mar-59,Juno II,United States NASA,Flyby,Partial failure,"Second-stage overperformance resulted in flyby at greater altitude than expected, out of instrument range, with 58,983 kilometres (36,650 mi) of distance. Closest approach at 22:25 UTC on 4 March. First U.S. spacecraft to leave Earth orbit. ([9][11])"
E-1A No.1,E-1A No.1,18-Jun-59,Luna,Soviet Union OKB-1,Impactor,Launch failure,Failed to orbit; guidance system malfunction. ([9])
Luna 2 (E-1A No.2),Luna 2,12-Sep-59,Luna,Soviet Union OKB-1,Impactor,Successful,Successful impact at 21:02 on 14 September 1959. First spacecraft to reach lunar surface. The impact made the Soviet Union the 1st country to reach the surface of the Moon. ([12])
Luna 3 (E-2A No.1),Luna 3,04-Oct-59,Luna,Soviet Union OKB-1,Flyby,Successful,Returned first images of the far side of the Moon. ([13])
Pioneer P-3 (Able IVB),Pioneer P-3,26-Nov-59,Atlas-D Able,United States NASA,Orbiter,Launch failure,Failed to orbit; payload fairing disintegrated due to design fault. ([14][9])
Luna E-3 No.1,Luna E-3 No.1,15-Apr-60,Luna,Soviet Union OKB-1,Flyby,Launch failure,Failed to orbit; premature third-stage cutoff. ([15])
Luna E-3 No.2,Luna E-3 No.2,16-Apr-60,Luna,Soviet Union OKB-1,Flyby,Launch failure,Failed to orbit; rocket disintegrated ten seconds after launch. ([15])
Pioneer P-30 (Able VA),Pioneer P-30,25-Sep-60,Atlas-D Able,United States NASA,Orbiter,Launch failure,Failed to orbit; second-stage oxidizer system malfunction resulting in premature cutoff. ([16][15])
Pioneer P-31 (Able VB),Pioneer P-31,15-Dec-60,Atlas-D Able,United States NASA,Orbiter,Launch failure,"Failed to orbit, exploded 68 seconds after launch, at an altitude of 12.2 kilometres (7.6 mi). Second stage ignited while first stage was still attached and burning. ([17][15])"
Ranger 3 (P-34),Ranger 3,26-Jan-62,Atlas LV-3 Agena-B,United States NASA,Impactor,Spacecraft failure,"Partial launch failure due to guidance problem; attempt to correct using spacecraft's engine resulted in it missing the Moon by 36,793 kilometres (22,862 mi). ([18][19])"
Ranger 4 (P-35),Ranger 4,23-Apr-62,Atlas LV-3 Agena-B,United States NASA,Impactor,Spacecraft failure,"Failed to deploy solar panels, ran out of power ten hours after launch; incidental impact on the far side of the Moon on 26 April. First spacecraft to impact the far side of the Moon. ([18][20])"
Ranger 5 (P-36),Ranger 5,18-Oct-62,Atlas LV-3 Agena-B,United States NASA,Impactor,Spacecraft failure,"Solar panels erroneously disengaged from power system, failed 8+3/4 hours after launch when batteries were depleted. Missed the Moon as course correction was not completed. ([18][21])"
Luna E-6 No.2,Luna E-6 No.2,04-Jan-63,Molniya-L,Soviet Union OKB-1,Lander,Launch failure,Failed to depart Low Earth orbit; guidance system power failure prevented upper-stage ignition. ([22][23])
Luna E-6 No.3,Luna E-6 No.3,03-Feb-63,Molniya-L,Soviet Union OKB-1,Lander,Launch failure,Failed to orbit; guidance failure. ([23])
Luna 4 (E-6 No.4),Luna 4,02-Apr-63,Molniya-L,Soviet Union OKB-1,Lander,Spacecraft failure,"Failed to perform mid-course correction, remained in high Earth orbit until given escape velocity by orbital perturbation. ([23][24])"
Luna E-6 No.6,Luna E-6 No.6,21-Mar-64,Molniya-M,Soviet Union OKB-1,Lander,Launch failure,Failed to orbit; third stage underperformed due to oxidiser valve failure. ([25])
Luna E-6 No.5,Luna E-6 No.5,20-Apr-64,Molniya-M,Soviet Union OKB-1,Lander,Launch failure,Failed to orbit; power failure caused by broken connection resulted in premature third-stage cutoff. ([25])
Ranger 7,Ranger 7,28-Jul-64,Atlas LV-3 Agena-B,United States NASA,Impactor,Successful,Impacted on 30 July 1964 at 13:25:48 UTC. ([27])
Ranger 8,Ranger 8,17-Feb-65,Atlas LV-3 Agena-B,United States NASA,Impactor,Successful,Impacted on 20 February 1965 at 09:57:37 UTC. ([28][29])
Kosmos 60 (E-6 No.9),Kosmos 60,12-Mar-65,Molniya-L,Soviet Union Lavochkin,Lander,Launch failure,"Upper stage failed to restart due to guidance system short circuit, failed to depart low Earth orbit. ([28][30])"
Ranger 9,Ranger 9,21-Mar-65,Atlas LV-3 Agena-B,United States NASA,Impactor,Successful,Impacted on 24 March 1965 at 14:08:20 UTC. ([28][31])
Luna E-6 No.8,Luna E-6 No.8,10-Apr-65,Molniya-L,Soviet Union Lavochkin,Lander,Spacecraft failure,"Third stage failed to ignite due to loss of oxidiser pressure, failed to orbit. ([28])"
Luna 5 (E-6 No.10),Luna 5,09-May-65,Molniya-M,Soviet Union Lavochkin,Lander,Spacecraft failure,"Loss of control after gyroscope malfunction, failed to decelerate for landing and impacted the Moon at 19:10 UTC on 12 May 1965. ([28][32])"
Luna 6 (E-6 No.7),Luna 6,08-Jun-65,Molniya-M,Soviet Union Lavochkin,Lander,Spacecraft failure,"Engine failed to shut down after performing mid-course correction manoeuvre, flew past the Moon in a heliocentric orbit. ([28][33])"
Zond 3 (3MV-4 No.3),Zond 3,18-Jul-65,Molniya,Soviet Union Lavochkin,Flyby,Successful,"Flew past the Moon on 20 July 1965 at a distance of 9,200 kilometres (5,700 mi). Conducted technology demonstration for future planetary missions. ([28][34])"
